N,LB,TH,K,weight_mode,vol_target,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,calmar_ratio,exposure_pct,total_trades,final_nav
30,30,0.5,3,Inverse_Vol,False,62.92,20.86,-64.66,0.61,0.32,32.9,181,16291.86
20,14,0.4,5,Inverse_Vol,False,57.1,19.16,-51.28,0.6,0.37,35.5,300,15710.11
20,14,0.5,5,Hysteresis_Rank,True,56.46,18.98,-55.21,0.6,0.34,31.8,177,15646.17
50,30,0.65,5,Hysteresis_Rank,True,57.51,19.28,-50.3,0.59,0.38,24.2,102,15750.67
20,14,0.5,5,Equal_Weight,True,54.23,18.31,-56.13,0.59,0.33,31.8,267,15423.11
50,30,0.4,3,Hysteresis_Rank,True,55.84,18.79,-68.47,0.59,0.27,34.5,121,15583.6
20,30,0.4,1,Equal_Weight,True,36.63,12.88,-71.27,0.59,0.18,40.8,120,13662.83
20,30,0.4,1,Inverse_Vol,True,36.63,12.88,-71.27,0.59,0.18,40.8,120,13662.83
50,14,0.4,1,Hysteresis_Rank,True,24.91,9.02,-85.66,0.58,0.11,32.6,119,12490.56
30,60,0.65,5,Inverse_Vol,False,53.09,18.18,-51.64,0.57,0.35,29.9,132,15309.2
50,60,0.5,5,Inverse_Vol,False,51.9,17.82,-54.14,0.57,0.33,33.2,158,15190.47
20,14,0.4,3,Inverse_Vol,False,52.98,17.94,-59.42,0.57,0.3,35.5,257,15298.43
20,30,0.65,1,Hysteresis_Rank,False,48.25,16.51,-55.6,0.57,0.3,28.9,79,14825.0
20,14,0.65,5,Hysteresis_Rank,True,50.67,17.25,-60.35,0.57,0.29,28.2,156,15066.78
30,30,0.4,3,Inverse_Vol,False,52.46,17.79,-67.41,0.57,0.26,37.8,198,15246.09
20,14,0.65,5,Equal_Weight,True,46.25,15.9,-62.63,0.55,0.25,28.2,233,14625.37
20,30,0.5,1,Hysteresis_Rank,False,35.28,12.44,-66.03,0.55,0.19,36.1,97,13527.77
50,30,0.4,1,Hysteresis_Rank,False,26.13,9.43,-79.5,0.54,0.12,34.5,89,12612.86
50,30,0.65,1,Equal_Weight,True,21.31,7.79,-78.28,0.54,0.1,24.2,90,12130.89
50,30,0.65,1,Inverse_Vol,True,21.31,7.79,-78.28,0.54,0.1,24.2,90,12130.89
20,14,0.4,5,Inverse_Vol,True,43.24,14.97,-54.73,0.53,0.27,35.5,300,14323.61
30,30,0.5,5,Equal_Weight,False,43.53,15.06,-57.9,0.53,0.26,32.9,227,14353.49
20,14,0.5,3,Equal_Weight,True,42.57,14.76,-58.16,0.53,0.25,31.8,228,14257.14
50,30,0.4,5,Hysteresis_Rank,True,43.03,14.9,-62.82,0.53,0.24,34.5,143,14302.65
20,30,0.65,3,Hysteresis_Rank,False,43.48,15.04,-46.62,0.52,0.32,28.9,105,14347.79
20,30,0.65,5,Inverse_Vol,True,42.23,14.65,-45.59,0.52,0.32,28.9,203,14222.87
20,60,0.4,1,Hysteresis_Rank,False,26.12,9.53,-75.46,0.52,0.13,43.6,70,12611.98
20,14,0.4,1,Equal_Weight,True,19.83,7.27,-72.08,0.52,0.1,35.5,165,11982.55
20,14,0.4,1,Inverse_Vol,True,19.83,7.27,-72.08,0.52,0.1,35.5,165,11982.55
20,14,0.4,3,Inverse_Vol,True,38.78,13.57,-58.32,0.51,0.23,35.5,257,13878.22
30,30,0.4,5,Inverse_Vol,False,40.41,14.08,-61.62,0.51,0.23,37.8,255,14041.23
20,14,0.65,3,Equal_Weight,True,38.6,13.51,-66.11,0.51,0.2,28.2,195,13859.99
30,30,0.4,3,Hysteresis_Rank,False,36.86,12.95,-57.19,0.5,0.23,37.8,112,13686.49
50,60,0.65,5,Inverse_Vol,False,35.81,12.76,-48.99,0.49,0.26,25.9,128,13580.83
50,60,0.4,5,Inverse_Vol,False,33.68,12.06,-54.42,0.49,0.22,37.5,184,13368.24
30,30,0.5,5,Inverse_Vol,True,36.94,12.98,-61.81,0.49,0.21,32.9,227,13693.98
30,60,0.65,5,Inverse_Vol,True,32.97,11.83,-57.6,0.48,0.21,29.9,132,13297.24
30,30,0.5,3,Equal_Weight,False,31.1,11.08,-65.46,0.48,0.17,32.9,181,13110.07
20,14,0.4,1,Equal_Weight,False,14.4,5.36,-67.99,0.48,0.08,35.5,165,11439.97
20,14,0.4,1,Inverse_Vol,False,14.4,5.36,-67.99,0.48,0.08,35.5,165,11439.97
30,30,0.5,3,Hysteresis_Rank,False,28.48,10.22,-58.19,0.46,0.18,32.9,111,12848.49
50,30,0.5,5,Hysteresis_Rank,True,29.8,10.65,-62.36,0.46,0.17,30.7,134,12979.9
50,60,0.5,5,Inverse_Vol,True,27.59,10.03,-60.8,0.46,0.16,33.2,158,12759.07
20,30,0.65,1,Hysteresis_Rank,True,14.93,5.55,-62.47,0.46,0.09,28.9,79,11492.61
20,14,0.4,3,Equal_Weight,False,25.96,9.37,-57.91,0.45,0.16,35.5,257,12595.94
30,30,0.65,1,Equal_Weight,True,2.49,0.96,-68.41,0.45,0.01,26.5,87,10248.76
30,30,0.65,1,Inverse_Vol,True,2.49,0.96,-68.41,0.45,0.01,26.5,87,10248.76
20,30,0.65,5,Hysteresis_Rank,False,27.98,10.05,-42.49,0.44,0.24,28.9,120,12798.22
20,14,0.4,5,Equal_Weight,False,25.83,9.33,-53.75,0.44,0.17,35.5,300,12582.99
30,30,0.4,3,Equal_Weight,False,21.62,7.89,-68.05,0.44,0.12,37.8,198,12162.18
50,30,0.4,1,Equal_Weight,False,-11.72,-4.72,-85.72,0.44,0.06,34.5,117,8828.43
50,30,0.4,1,Inverse_Vol,False,-11.72,-4.72,-85.72,0.44,0.06,34.5,117,8828.43
50,60,0.5,5,Equal_Weight,False,22.7,8.36,-58.64,0.43,0.14,33.2,158,12270.04
30,30,0.65,1,Equal_Weight,False,1.71,0.66,-68.27,0.43,0.01,26.5,87,10170.82
30,30,0.65,1,Inverse_Vol,False,1.71,0.66,-68.27,0.43,0.01,26.5,87,10170.82
30,30,0.5,3,Inverse_Vol,True,18.76,6.9,-70.65,0.42,0.1,32.9,181,11875.64
20,30,0.5,1,Equal_Weight,False,-1.67,-0.65,-68.96,0.42,0.01,36.1,119,9832.99
20,30,0.5,1,Inverse_Vol,False,-1.67,-0.65,-68.96,0.42,0.01,36.1,119,9832.99
30,30,0.5,5,Hysteresis_Rank,False,22.04,8.04,-57.09,0.41,0.14,32.9,139,12203.51
20,30,0.4,3,Hysteresis_Rank,False,16.75,6.2,-57.56,0.41,0.11,40.8,129,11675.18
20,30,0.5,1,Hysteresis_Rank,True,-4.39,-1.73,-72.85,0.41,0.02,36.1,97,9561.24
